country,country_code,year,indicator_code,indicator_name,metric,value
China,CHN,2014,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,2.51155883670463
China,CHN,2015,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,2.14957284731563
China,CHN,2016,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,1.52539470315394
China,CHN,2017,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,1.32468971748482
China,CHN,2018,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,1.66361992284408
China,CHN,2019,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,1.28549226847992
China,CHN,2020,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,1.68770756292082
China,CHN,2021,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,1.8903454142588
China,CHN,2022,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,1.03841365474349
China,CHN,2023,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,0.280991103634816
China,CHN,2024,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,0.0989988051182737
China,CHN,2014,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,1.9216416278852
China,CHN,2015,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,1.43702380935654
China,CHN,2016,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,2.00000182191943
China,CHN,2017,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,1.59313600071435
China,CHN,2018,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,2.07479039965576
China,CHN,2019,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,2.89923416358226
China,CHN,2020,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,2.41942189457782
China,CHN,2021,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,0.981015135544881
China,CHN,2022,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,1.9735755573905
China,CHN,2023,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,0.23483682889305
China,CHN,2024,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,0.218128938439177
China,CHN,2014,NE.TRD.GNFS.ZS,Trade (% of GDP),trade_pct_gdp,44.0684564812532
China,CHN,2015,NE.TRD.GNFS.ZS,Trade (% of GDP),trade_pct_gdp,38.6971848362625
China,CHN,2016,NE.TRD.GNFS.ZS,Trade (% of GDP),trade_pct_gdp,36.177170692978
China,CHN,2017,NE.TRD.GNFS.ZS,Trade (% of GDP),trade_pct_gdp,36.95085261586
China,CHN,2018,NE.TRD.GNFS.ZS,Trade (% of GDP),trade_pct_gdp,36.8943843914718
China,CHN,2019,NE.TRD.GNFS.ZS,Trade (% of GDP),trade_pct_gdp,35.1994202738836
China,CHN,2020,NE.TRD.GNFS.ZS,Trade (% of GDP),trade_pct_gdp,34.0389507864581
China,CHN,2021,NE.TRD.GNFS.ZS,Trade (% of GDP),trade_pct_gdp,36.5206911762676
China,CHN,2022,NE.TRD.GNFS.ZS,Trade (% of GDP),trade_pct_gdp,37.440719876366
China,CHN,2023,NE.TRD.GNFS.ZS,Trade (% of GDP),trade_pct_gdp,36.1051923691138
China,CHN,2024,NE.TRD.GNFS.ZS,Trade (% of GDP),trade_pct_gdp,37.1984201388065
China,CHN,2014,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,7.46190028229434
China,CHN,2015,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,6.97878002657477
China,CHN,2016,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,6.77555562837017
China,CHN,2017,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,6.8912663621211
China,CHN,2018,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,6.75671800166833
China,CHN,2019,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,6.06850235053705
China,CHN,2020,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,2.34018843078414
China,CHN,2021,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,8.57008513166322
China,CHN,2022,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,3.1341888719577
China,CHN,2023,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,5.41484330099675
China,CHN,2024,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,4.9773565917572
China,CHN,2014,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_pct,4.63
China,CHN,2015,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_pct,4.65
China,CHN,2016,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_pct,4.56
China,CHN,2017,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_pct,4.47
China,CHN,2018,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_pct,4.31
China,CHN,2019,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_pct,4.56
China,CHN,2020,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_pct,5.0
China,CHN,2021,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_pct,4.55
China,CHN,2022,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_pct,4.98
China,CHN,2023,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_pct,4.67
China,CHN,2024,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_pct,4.59
Germany,DEU,2014,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,0.437762571704246
Germany,DEU,2015,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,1.82239938063641
Germany,DEU,2016,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,1.64365840117303
Germany,DEU,2017,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,2.88914588414184
Germany,DEU,2018,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,4.00082875273687
Germany,DEU,2019,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,1.9056930139782
Germany,DEU,2020,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,4.48523547812751
Germany,DEU,2021,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,2.93002168676674
Germany,DEU,2022,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,2.07605246190373
Germany,DEU,2023,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,1.69740103499567
Germany,DEU,2024,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",fdi_inflows_pct_gdp,1.01586176558023
Germany,DEU,2014,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,0.906794000434245
Germany,DEU,2015,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,0.514426137125456
Germany,DEU,2016,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,0.491747008445174
Germany,DEU,2017,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,1.50949485109628
Germany,DEU,2018,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,1.73216879766941
Germany,DEU,2019,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,1.44565976888253
Germany,DEU,2020,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,0.144877925813981
Germany,DEU,2021,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,3.06666666666673
Germany,DEU,2022,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,6.87257438551096
Germany,DEU,2023,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_pct,5.94643667725823
